        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
               256.57999                      -34.402189
                  256.84                      -35.031111
               257.10001                      -35.664191
               257.35999                      -36.302078
                  257.62                      -36.945318
                  257.88                       -37.59413
               258.14001                      -38.248297
               258.39999                      -38.907382
                  258.66                      -39.571169
               258.92001                      -40.239872
               259.17999                      -40.914039
                  259.44                      -41.594213
               259.70001                      -42.280839
               259.95999                      -42.974025
                  260.22                      -43.672998
               260.48001                      -44.377544
               260.73999                      -45.087666
                     261                      -45.803691
               261.26001                      -46.526596
               261.51999                      -47.256716
                  261.78                      -47.994157
               262.04001                      -48.738375
               262.29999                      -49.489148
                  262.56                      -50.245826
               262.82001                      -51.009059
               263.07999                      -51.779504
                  263.34                      -52.557706
               263.60001                      -53.344109
               263.85999                      -54.137942
                  264.12                      -54.938874
                  264.38                       -55.74626
               264.64001                      -56.560087
               264.89999                      -57.381242
                  265.16                      -58.210155
               265.42001                      -59.047591
               265.67999                      -59.892896
                  265.94                       -60.74541
               266.20001                      -61.604048
               266.45999                      -62.468803
                  266.72                      -63.339681
               266.98001                      -64.217988
               267.23999                      -65.104054
                   267.5                      -65.997334
               267.76001                      -66.896953
               268.01999                      -67.801596
                  268.28                      -68.710505
               268.54001                      -69.623344
               268.79999                      -70.540775
                  269.06                      -71.463671
               269.32001                      -72.391485
               269.57999                      -73.322795
                  269.84                      -74.255416
               270.10001                       -75.18727
               270.35999                      -76.116942
                  270.62                      -77.044646
                  270.88                      -77.969835
               271.14001                      -78.891748
               271.39999                      -79.806775
                  271.66                      -80.709562
               271.92001                      -81.593334
               272.17999                      -82.450768
                  272.44                      -83.273997
               272.70001                      -84.053185
               272.95999                      -84.773469
                  273.22                      -85.409059
               273.48001                      -85.916898
               273.73999                      -86.224748
                     274                      -86.205733
               274.26001                      -85.612873
               274.51999                      -83.876912
                  274.78                      -79.307132
               275.04001                      -64.245089
               275.29999                       4.8321644
                  275.56                       54.194435
               275.82001                       64.729316
               276.07999                        68.20692
                  276.34                       69.520612
               276.60001                       69.912502
               276.85999                       69.830977
                  277.12                       69.473184
                  277.38                       68.937371
               277.64001                       68.279378
               277.89999                       67.535049
                  278.16                       66.730179
               278.42001                       65.884004
               278.67999                        65.00941
                  278.94                       64.113727
               279.20001                       63.201104
               279.45999                       62.273072
                  279.72                       61.332691
               279.98001                       60.383459
               280.23999                       59.429637
                   280.5                        58.47505
               280.76001                       57.521554
               281.01999                       56.569592
                  281.28                       55.618175
               281.54001                       54.666972
               281.79999                       53.717084
                  282.06                       52.770257
               282.32001                       51.828893
               282.57999                       50.894085
                  282.84                       49.966058
               283.10001                       49.043924
               283.35999                        48.12649
                  283.62                       47.213651
                  283.88                       46.306493
               284.14001                       45.406659
               284.39999                       44.515237
                  284.66                       43.632558
               284.92001                       42.757855
               285.17999                        41.88982
                  285.44                       41.027796
               285.70001                       40.172109
               285.95999                       39.324181
                  286.22                       38.485107
               286.48001                       37.655323
               286.73999                       36.834061
                     287                       36.020557
               287.26001                       35.213611
               287.51999                       34.413111
                  287.78                       33.620045
               288.04001                       32.835612
               288.29999                        32.06025
                  288.56                       31.294176
               288.82001                       30.536079
               289.07999                       29.785088
                  289.34                       29.040539
               289.60001                       28.303317
               289.85999                       27.574618
                  290.12                       26.855207
                  290.38                       26.145742
               290.64001                       25.445237
               290.89999                       24.752931
                  291.16                       24.068492
               291.42001                       23.392357
               291.67999                       22.725949
                  291.94                       22.071016
               292.20001                       21.428542
               292.45999                       20.798743
                  292.72                       20.181293
               292.98001                       19.576522
               293.23999                        18.98552
                   293.5                       18.410691
               293.76001                       17.854877
               294.01999                        17.32081
                  294.28                       16.810459
               294.54001                       16.325243
               294.79999                       15.866582
                  295.06                       15.437098
               295.32001                       15.039527
               295.57999                       14.677253
                  295.84                       14.351809
               296.10001                       14.062646
               296.35999                       13.805831
                  296.62                       13.573823
                  296.88                        13.35635
               297.14001                       13.140188
               297.39999                       12.910038
                  297.66                       12.649289
               297.92001                       12.341329
               298.17999                       11.971954
                  298.44                       11.531652
               298.70001                       11.017803
               298.95999                       10.434341
                  299.22                       9.7906641
               299.48001                       9.0993393
               299.73999                        8.372716
                     300                       7.6219425

