        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
                     196                      -3.7078674
               196.25999                      -3.7341665
                  196.52                      -3.7619884
                  196.78                      -3.7913177
               197.03999                      -3.8221305
                   197.3                       -3.854427
                  197.56                      -3.8882417
               197.82001                      -3.9236385
                  198.08                       -3.960679
                  198.34                      -3.9993956
               198.60001                      -4.0397865
                  198.86                      -4.0818349
                  199.12                      -4.1255367
                  199.38                      -4.1709237
                  199.64                      -4.2180648
               199.89999                      -4.2670328
                  200.16                       -4.317878
                  200.42                      -4.3706141
               200.67999                      -4.4252263
                  200.94                      -4.4817113
                   201.2                       -4.540096
               201.46001                      -4.6004521
                  201.72                      -4.6628608
                  201.98                      -4.7273908
               202.24001                      -4.7940703
                   202.5                      -4.8628967
               202.75999                      -4.9338615
                  203.02                      -5.0069931
                  203.28                      -5.0823584
               203.53999                      -5.1600537
                   203.8                      -5.2401664
                  204.06                      -5.3227457
               204.32001                       -5.407803
                  204.58                      -5.4953368
                  204.84                      -5.5853739
               205.10001                      -5.6779887
                  205.36                      -5.7732919
                  205.62                       -5.871402
                  205.88                      -5.9724007
                  206.14                      -6.0763244
               206.39999                      -6.1831933
                  206.66                      -6.2930469
                  206.92                      -6.4059752
               207.17999                      -6.5221241
                  207.44                      -6.6416554
                   207.7                      -6.7647044
               207.96001                      -6.8913615
                  208.22                      -7.0216851
                  208.48                      -7.1557481
               208.74001                      -7.2936811
                     209                      -7.4356807
               209.25999                      -7.5819774
                  209.52                      -7.7327868
                  209.78                      -7.8882707
               210.03999                      -8.0485486
                   210.3                      -8.2137381
                  210.56                      -8.3840135
               210.82001                      -8.5596255
                  211.08                      -8.7408718
                  211.34                      -8.9280331
               211.60001                      -9.1213172
                  211.86                      -9.3208487
                  212.12                      -9.5267118
                  212.38                      -9.7390117
                  212.64                      -9.9579049
               212.89999                      -10.183548
                  213.16                      -10.415995
                  213.42                      -10.655079
               213.67999                      -10.900342
                  213.94                      -11.151073
                   214.2                      -11.406409
               214.46001                      -11.665445
                  214.72                      -11.927275
                  214.98                      -12.190921
               215.24001                      -12.455166
                   215.5                      -12.718385
               215.75999                      -12.978418
                  216.02                      -13.232537
                  216.28                      -13.477463
               216.53999                        -13.7094
                   216.8                      -13.924072
                  217.06                      -14.116799
               217.32001                      -14.282688
                  217.58                      -14.416961
                  217.84                      -14.515386
               218.10001                      -14.574675
                  218.36                      -14.592748
                  218.62                      -14.568822
                  218.88                      -14.503404
                  219.14                      -14.398229
               219.39999                      -14.256185
                  219.66                      -14.081159
                  219.92                      -13.877744
               220.17999                      -13.650831
                  220.44                      -13.405214
                   220.7                      -13.145299
               220.96001                      -12.874993
                  221.22                      -12.597734
                  221.48                       -12.31655
               221.74001                      -12.034081
                     222                      -11.752552
               222.25999                      -11.473721
                  222.52                      -11.198886
                  222.78                      -10.928962
               223.03999                      -10.664607
                   223.3                      -10.406334
                  223.56                      -10.154568
               223.82001                      -9.9096319
                  224.08                      -9.6717098
                  224.34                      -9.4408158
               224.60001                      -9.2168364
                  224.86                      -8.9995889
                  225.12                      -8.7889042
                  225.38                      -8.5846552
                  225.64                      -8.3867403
               225.89999                       -8.195034
                  226.16                      -8.0093434
                  226.42                      -7.8294158
               226.67999                      -7.6549724
                  226.94                      -7.4857705
                   227.2                      -7.3216337
               227.46001                      -7.1624388
                  227.72                      -7.0080755
                  227.98                      -6.8583963
               228.24001                      -6.7132055
                   228.5                      -6.5722858
               228.75999                      -6.4354421
                  229.02                      -6.3025388
                  229.28                      -6.1734974
               229.53999                      -6.0482629
                   229.8                      -5.9267576
                  230.06                      -5.8088587
               230.32001                      -5.6944096
                  230.58                      -5.5832638
                  230.84                      -5.4753175
               231.10001                      -5.3705212
                  231.36                       -5.268856
                  231.62                      -5.1702874
                  231.88                      -5.0747416
                  232.14                      -4.9821021
               232.39999                       -4.892247
                  232.66                      -4.8050878
                  232.92                      -4.7205827
               233.17999                       -4.638724
                  233.44                         -4.5595
                   233.7                      -4.4828619
               233.96001                      -4.4087168
                  234.22                      -4.3369509
                  234.48                      -4.2674764
               234.74001                      -4.2002498
                     235                      -4.1352687
               235.25999                      -4.0725383
                  235.52                       -4.012033
                  235.78                       -3.953677
               236.03999                      -3.8973692
                   236.3                      -3.8430114
                  236.56                      -3.7905489
               236.82001                      -3.7399737
                  237.08                      -3.6912966
                  237.34                      -3.6445109
               237.60001                      -3.5995657
                  237.86                      -3.5563729
                  238.12                      -3.5148378
                  238.38                       -3.474899
                  238.64                      -3.4365415
               238.89999                      -3.3997818
                  239.16                      -3.3646271
                  239.42                      -3.3310497
               239.67999                      -3.2989763
                  239.94                      -3.2683188
                   240.2                      -3.2390131
               240.46001                      -3.2110371
                  240.72                      -3.1844099
                  240.98                      -3.1591552
               241.24001                      -3.1352629
                   241.5                      -3.1126812
               241.75999                      -3.0913297
                  242.02                      -3.0711435
                  242.28                      -3.0520953
               242.53999                      -3.0342027
                   242.8                       -3.017501
                  243.06                      -3.0020019
               243.32001                      -2.9876729
                  243.58                      -2.9744461
                  243.84                      -2.9622554
               244.10001                      -2.9510689
                  244.36                       -2.940902
                  244.62                      -2.9317955
                  244.88                      -2.9237836
                  245.14                      -2.9168516
               245.39999                       -2.910948
                  245.66                      -2.9060087
                  245.92                      -2.9019942
               246.17999                      -2.8989161
                  246.44                      -2.8968225
                   246.7                      -2.8957582
               246.96001                       -2.895735
                  247.22                      -2.8967175
                  247.48                      -2.8986425
               247.74001                      -2.9014714
                     248                      -2.9052053
               248.25999                      -2.9098927
                  248.52                       -2.915596
                  248.78                      -2.9223453
               249.03999                      -2.9301245
                   249.3                      -2.9388815
                  249.56                      -2.9485716
               249.82001                      -2.9591889
                  250.08                      -2.9707831
                  250.34                      -2.9834234
               250.60001                      -2.9971635
                  250.86                      -3.0120096
                  251.12                      -3.0279219
                  251.38                      -3.0448554
                  251.64                      -3.0627962
               251.89999                      -3.0817894
                  252.16                      -3.1019147
                  252.42                      -3.1232463
               252.67999                      -3.1458154
                  252.94                      -3.1695984
                   253.2                      -3.1945557
               253.46001                      -3.2206685
                  253.72                      -3.2479754
                  253.98                      -3.2765619
               254.24001                      -3.3065247
                   254.5                       -3.337922
               254.75999                      -3.3707562
                  255.02                      -3.4049945
                  255.28                      -3.4406177
               255.53999                      -3.4776587
                   255.8                      -3.5162079
                  256.06                      -3.5563832
               256.32001                      -3.5982771
               256.57999                      -3.6419188
                  256.84                      -3.6872974
               257.10001                       -3.734395
               257.35999                      -3.7832426
                  257.62                      -3.8339354
                  257.88                      -3.8866122
               258.14001                      -3.9414024
               258.39999                      -3.9983784
                  258.66                      -4.0575564
               258.92001                      -4.1189305
               259.17999                      -4.1825339
                  259.44                      -4.2484692
               259.70001                       -4.316902
               259.95999                      -4.3880028
                  260.22                      -4.4619006
               260.48001                      -4.5386521
               260.73999                      -4.6182815
                     261                      -4.7008321
               261.26001                       -4.786422
               261.51999                       -4.875247
                  261.78                      -4.9675381
               262.04001                        -5.06349
               262.29999                      -5.1632338
                  262.56                      -5.2668391
               262.82001                      -5.3743849
               263.07999                      -5.4860174
                  263.34                      -5.6019823
               263.60001                      -5.7225865
               263.85999                       -5.848132
                  264.12                      -5.9788521
                  264.38                      -6.1149108
               264.64001                      -6.2564549
               264.89999                      -6.4036996
                  265.16                      -6.5569718
               265.42001                      -6.7167014
               265.67999                      -6.8833509
                  265.94                      -7.0573337
               266.20001                       -7.238986
               266.45999                      -7.4286074
                  266.72                      -7.6265574
               266.98001                      -7.8333356
               267.23999                       -8.049598
                   267.5                      -8.2761024
               267.76001                      -8.5136034
               268.01999                      -8.7627998
                  268.28                      -9.0243479
               268.54001                      -9.2989764
               268.79999                      -9.5876062
                  269.06                      -9.8914269
               269.32001                      -10.211867
               269.57999                      -10.550498
                  269.84                      -10.908943
               270.10001                      -11.288883
               270.35999                      -11.692188
                  270.62                      -12.121135
                  270.88                      -12.578612
               271.14001                      -13.068215
               271.39999                      -13.594257
                  271.66                      -14.161744
               271.92001                      -14.776506
               272.17999                      -15.445561
                  272.44                      -16.177806
               272.70001                      -16.984975
               272.95999                      -17.882886
                  273.22                      -18.893099
               273.48001                      -20.045566
               273.73999                      -21.383464
                     274                       -22.97281
               274.26001                      -24.922953
               274.51999                      -27.434813
                  274.78                      -30.932233
               275.04001                      -36.429066
               275.29999                      -41.493394
                  275.56                      -34.688143
               275.82001                      -29.848536
               276.07999                      -26.661279
                  276.34                       -24.31602
               276.60001                      -22.467753
               276.85999                      -20.945148
                  277.12                      -19.651872
                  277.38                      -18.529017
               277.64001                      -17.538293
               277.89999                      -16.653453
                  278.16                      -15.855501
               278.42001                       -15.12997
               278.67999                      -14.465461
                  278.94                      -13.852924
               279.20001                      -13.285269
               279.45999                      -12.757039
                  279.72                      -12.263982
               279.98001                      -11.802606
               280.23999                      -11.369815
                   280.5                      -10.962736
               280.76001                      -10.578741
               281.01999                      -10.215579
                  281.28                      -9.8714627
               281.54001                      -9.5450339
               281.79999                      -9.2351926
                  282.06                      -8.9408921
               282.32001                      -8.6610202
               282.57999                      -8.3944081
                  282.84                      -8.1399637
               283.10001                      -7.8968051
               283.35999                      -7.6643078
                  283.62                      -7.4420342
                  283.88                      -7.2295745
               284.14001                      -7.0264236
               284.39999                      -6.8319539
                  284.66                      -6.6455005
               284.92001                      -6.4665017
               285.17999                      -6.2945849
                  285.44                      -6.1295472
               285.70001                      -5.9712402
               285.95999                      -5.8194412
                  286.22                      -5.6737928
               286.48001                      -5.5338463
               286.73999                      -5.3991866
                     287                      -5.2695405
               287.26001                      -5.1447974
               287.51999                      -5.0249366
                  287.78                      -4.9098937
               288.04001                      -4.7994784
               288.29999                      -4.6933843
                  288.56                      -4.5912821
               288.82001                      -4.4929428
               289.07999                       -4.398297
                  289.34                      -4.3073823
               289.60001                      -4.2202419
               289.85999                      -4.1368084
                  290.12                      -4.0568832
                  290.38                       -3.980207
               290.64001                      -3.9065749
               290.89999                      -3.8359289
                  291.16                      -3.7683394
               291.42001                      -3.7039156
               291.67999                      -3.6426864
                  291.94                      -3.5845387
               292.20001                      -3.5292638
               292.45999                      -3.4766601
                  292.72                      -3.4266372
               292.98001                      -3.3792407
               293.23999                      -3.3345658
                   293.5                      -3.2926383
               293.76001                      -3.2533159
               294.01999                      -3.2162839
                  294.28                      -3.1811388
               294.54001                      -3.1474828
               294.79999                      -3.1149566
                  295.06                       -3.083163
               295.32001                      -3.0515254
               295.57999                      -3.0191549
                  295.84                      -2.9848064
               296.10001                      -2.9469702
               296.35999                      -2.9040405
                  296.62                       -2.854511
                  296.88                      -2.7971267
               297.14001                       -2.731013
               297.39999                      -2.6558071
                  297.66                      -2.5718088
               297.92001                      -2.4801242
               298.17999                      -2.3826992
                  298.44                      -2.2821674
               298.70001                      -2.1814814
               298.95999                      -2.0834512
                  299.22                      -1.9903175
               299.48001                      -1.9035291
               299.73999                      -1.8237587
                     300                       -1.751105

